Question,Answer1,Answer2,Answer3,Answer4,Correct
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
